site,birthyear,dct_dist,race
BAK,1969,358.515921587844,aawhite
BAK,1982,684.92731362703,abi
BAK,1972,355.278414288537,redacted
BAK,1932,1520.23595094999,aawhite
BAK,1982,1269.87333383153,aawhite
BAK,1950,184.616628638955,aawhite
BAK,1984,186.928946031127,aawhite
BAK,1965,442.752869528848,redacted
BAK,1958,643.923745491897,aawhite
BAK,1948,381.370224904258,aawhite
BAK,1988,233.892763191378,aawhite
BAK,1958,233.543259477858,aawhite
BAK,1970,586.524630939674,redacted
BAK,1967,1002.06763486164,redacted
BAK,1988,194.352981908716,abi
BAK,1952,1391.74549534875,aawhite
BAK,1978,163.549091325417,aawhite
BAK,1991,1141.24014696135,redacted
BAK,1957,826.539677205289,aawhite
BAK,1954,464.071750430067,redacted
BAK,1994,721.830042095461,redacted
BAK,1952,977.233859279964,redacted
BAK,1983,418.035058006826,aawhite
BAK,1969,215.417589534901,abi
BAK,1941,547.557994333715,abi
BAK,1941,1656.98342477205,abi
BAK,1945,664.13551640621,aawhite
BAK,1969,337.379827199045,aawhite
BAK,1972,294.197341680114,redacted
BAK,1974,817.826622662746,aawhite
BAK,1975,382.347979784083,aawhite
BAK,1958,406.944426801918,aawhite
BAK,1934,969.409990726861,abi
BAK,1966,279.787236226997,aawhite
BAK,1960,1264.56868104511,aawhite
BAK,1981,901.973974320009,redacted
BAK,1991,447.77491881356,redacted
BAK,1989,391.056211573326,aawhite
BAK,1987,821.61285789409,abi
BAK,1970,702.85710418088,abi
BAK,1984,1059.58295025745,aawhite
BAK,1941,254.442410990564,aawhite
BAK,1939,412.242696703048,aawhite
BAK,1971,483.927635587412,aawhite
BAK,1959,642.73950253538,abi
BAK,1955,2137.81471702963,redacted
BAK,1983,1050.76106012067,aawhite
BAK,1970,543.384287825836,aawhite
BAK,1957,5114.77271260179,aawhite
BAK,1930,594.591820785598,aawhite
BAK,1978,376.91688393652,redacted
BAK,1982,486.620688985534,aawhite
BAK,1966,644.02440806013,abi
BAK,1994,940.789600002909,abi
BAK,1949,5132.26121197241,abi
BAK,1948,862.635770223054,aawhite
BAK,1986,917.832526240914,redacted
BAK,1961,1218.05948244206,aawhite
BAK,1990,844.314417143653,abi
BAK,1989,557.116287355071,redacted
BAK,1994,984.601400633929,redacted
BAK,1940,369.679757828698,aawhite
BAK,1989,323.998124558741,redacted
BAK,1953,1523.31073659629,aawhite
BAK,1972,1513.55998353084,redacted
BAK,1972,480.809220099456,aawhite
BAK,1978,428.073608900867,redacted
BAK,1958,534.875654721064,aawhite
BAK,1985,489.24754926194,abi
BAK,1990,1257.39330075173,aawhite
BAK,1988,708.058160395611,aawhite
BAK,1972,1459.52496567169,redacted
BAK,1986,461.368690834009,aawhite
BAK,1960,466.567759940636,aawhite
BAK,1952,1126.04180318898,abi
BAK,1992,455.822773003123,redacted
BAK,1948,455.463543868703,redacted
BAK,1922,332.531348619239,aawhite
BAK,1953,429.786416875264,redacted
BAK,1989,382.69525394705,aawhite
BAK,1929,953.336057900624,aawhite
BAK,1964,522.538005214602,aawhite
BAK,1942,309.499699987198,aawhite
BAK,1940,1090.98404014057,aawhite
BAK,1948,688.788978583546,aawhite
BAK,1959,1240.46939458449,aawhite
BAK,1953,253.192501255548,aawhite
BAK,1989,1067.26344637333,abi
BAK,1922,1009.24728308426,aawhite
BAK,1988,588.739387254715,aawhite
BAK,1989,68.7043218237963,redacted
BAK,1993,406.429832831161,redacted
BAK,1926,815.468385597596,aawhite
BAK,1964,1104.67108961354,aawhite
BAK,1928,1204.76623144877,aawhite
BAK,1942,768.473039455075,aawhite
BAK,1946,300.205041311123,abi
BAK,1931,237.548195949995,aawhite
HUM,1928,651.040303342759,aawhite
HUM,1987,1578.4110696478,aawhite
HUM,1954,1063.88159701445,aawhite
HUM,1966,587.085481075991,aawhite
HUM,1991,869.30226402421,aawhite
HUM,1958,467.216631579657,abi
HUM,1985,187.781432627633,aawhite
HUM,1988,638.137264184711,abi
HUM,1980,707.694647358847,aawhite
HUM,1964,759.596036326079,aawhite
HUM,1930,568.230770444887,aawhite
HUM,1968,530.781893239203,redacted
HUM,1968,324.982626186502,aawhite
HUM,1921,797.850988289539,aawhite
HUM,1989,355.700450542515,aawhite
HUM,1951,1453.79199983291,aawhite
HUM,1996,977.712354468286,aawhite
HUM,1990,396.192843460969,aawhite
HUM,1992,1344.51353820143,aawhite
HUM,1980,1180.18916540827,redacted
HUM,1984,501.564402010507,redacted
HUM,1991,957.306349597021,aawhite
HUM,1993,1095.81426157814,abi
HUM,1948,834.876478622773,aawhite
HUM,1988,240.1317290162,aawhite
HUM,1987,482.818241052047,aawhite
HUM,1938,538.964080182034,aawhite
HUM,1943,2161.750234321,aawhite
HUM,1985,570.451720342519,aawhite
HUM,1976,417.768485291009,aawhite
HUM,1977,766.359884365429,redacted
HUM,1997,420.412676942817,aawhite
HUM,1997,785.030504470438,aawhite
HUM,1950,617.312486744255,aawhite
HUM,1970,623.343416282467,abi
